"S.No","Product Name","Category","Price","Mind Onn Business Product Information Sheet Description","Sizes","Colors","SKU","Stock","Shipping","Featured?"
"1","The Art Of","T-Shirt","$30","Client description","S, M, XXL","Yellow","—","—","Plus shipping","Yes"
"2","The Art Of","T-Shirt","$30","Client description","S,M,L,XL,XXL","White","","","Plus shipping","Yes"
"3","The Art Of","T-Shirt","$30","Client description","S,M,L,XL,XXL","Mint Green","","","Plus shipping","Yes"
"4","The Art Of","T-Shirt","$30","Client description","S, M, L, XXL","Tan","","","Plus shipping","Yes"
"5","The Art Of","T-Shirt","$30","Client description","S,M,L,XXL","Royal Blue","","","Plus shipping","Yes"
"6","Believer","T-Shirt","$30","","","Black","","","Plus shipping","Yes"
"7","Believer","T-Shirt","$30","","","Red","","","Plus shipping","Yes"
"8","Believer","T-Shirt","$30","","","White","","","Plus shipping","Yes"
"9","Bossing Up","T-Shirt","$30","","S,M,L,XL,XXL","Sky Blue","","","Plus shipping","Yes"
"10","Bossing Up","T-Shirt","$30","","M,L,XL,XXL","Mint Green","","","Plus shipping","Yes"
"11","Bossing Up","T-Shirt","$30","","S,M,L,XL,XXL","Black","","","Plus shipping","Yes"
"12","Bossing Up","T-Shirt","$30","","S,L,XL,XXL","Light Gray","","","Plus shipping","Yes"
"13","Bossing Up","T-Shirt","$30","","M","Royal Blue","","","Plus shipping","Yes"
"14","Bossing Up","T-Shirt","$30","","S,M,L,XL,XXL","Army Green","","","Plus shipping","Yes"
"15","Alive ","T-Shirt","$30","","S,M,L,XL,XXL","White","","","Plus shipping","Yes"
"16","Alive ","T-Shirt","$30","","S,M,L,XL,XXL","Black","","","Plus shipping","Yes"
"17","Alive","T-Shirt","$30","","S,M,L,XL","Light Gray","","","Plus shipping","Yes"
"18","Alive","T-Shirt","$30","","S,M,XXL","Green","","","Plus shipping","Yes"
"19","Alive","T-Shirt","$30","","S,M,L,XL,XXL","Royal Blue","","","Plus shipping","Yes"
"20","Alive","T-Shirt","$30","","M,L,XL,XXL","Red","","","Plus shipping","Yes"
"21","Chivarly not dead","T-Shirt","$30","V-Neck","S,M,L,XXL","Yellow","","","Plus shipping","Yes"
"22","Chivarly not dead","T-Shirt","$30","V-Neck","S,M,L,XL,XXL","Red","","","Plus shipping","Yes"
"23","Chivarly not dead","T-Shirt","$30","V-Neck","S,M,L,XXL","Navy Blue","","","Plus shipping","Yes"
"24","Chivarly not dead","T-Shirt","$30","V-Neck","S,M,L,XXL","Storm Gray","","","Plus shipping","Yes"
"25","Chivarly not dead","T-Shirt","$30","V-Neck","M,L","Black","","","Plus shipping","Yes"
